case,arm,region,side,n_aligned,lam_count,turb_count,turb_fraction,q_ratio_mean,q_ratio_median,q_ratio_std,q_ratio_iqr,lam_q_ratio_mean,turb_q_ratio_mean,p_ratio_mean,spearman_x_qratio
ma6_a5_h30km,A_baseline,cap_mask,windward,2,2,0,0.0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,7.984699942155558,nan,0.9922797388042859,nan
ma6_a5_h30km,A_baseline,true_nose_cap,windward,8,8,0,0.0,1.9287225043436846,1.9134642658040861,0.2227527554504497,0.41620868553880386,1.9287225043436846,nan,1.3293773708096528,-0.523809523809524
ma6_a5_h30km,A_baseline,leading_edge_near,windward,1700,2055,0,0.0,0.6854185622577293,0.6047262035257401,0.3502139995947619,0.2378320336141631,0.6854185622577293,nan,1.3889134878337501,-0.21029024489667325
ma6_a5_h30km,A_baseline,windward_body,windward,251,358,4,0.011049723756906077,0.6362094668632363,0.5260228387006681,0.23771684279565516,0.39153316604809,0.6362094668632363,nan,1.4393226391724916,-0.6544101688484159
ma6_a5_h30km,A_baseline,aft_body,windward,499,317,496,0.6100861008610086,1.305599289435457,0.7098550493154545,0.9863870238185549,1.5711962458767463,0.4059340087108807,2.2234764179479805,1.434244638982041,0.19794432237969914
ma8_a5_h30km,A_baseline,cap_mask,windward,2,2,0,0.0,8.406311571186695,8.406311571186695,0.6121144586039309,0.6121144586039318,8.406311571186695,nan,0.9534651171767136,nan
ma8_a5_h30km,A_baseline,true_nose_cap,windward,8,8,0,0.0,2.444908531175645,2.4523534918022634,0.29457923348529924,0.39642086172353697,2.444908531175645,nan,1.4419460835385882,-0.2142857142857143
ma8_a5_h30km,A_baseline,leading_edge_near,windward,1700,2055,0,0.0,0.8881680701894279,0.7864681091537828,0.43665123382737436,0.2843238298634294,0.8881680701894279,nan,1.5751977483114052,-0.195852938433116
ma8_a5_h30km,A_baseline,windward_body,windward,251,362,0,0.0,0.87573948443082,0.7327591435786059,0.3343028616459308,0.5455747456128289,0.87573948443082,nan,1.6820066686545523,-0.5976573705179283
ma8_a5_h30km,A_baseline,aft_body,windward,499,586,227,0.27921279212792127,0.8506350674520683,0.5419967724351994,0.8795076695435788,0.17502483863103335,0.5291967425290501,3.0751923637447014,1.665687837019734,-0.05878407417244126
ma6_a5_h30km,C_smoothstep,cap_mask,windward,2,2,0,0.0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,7.984699942155558,nan,0.9922797388042859,nan
ma6_a5_h30km,C_smoothstep,true_nose_cap,windward,8,8,0,0.0,1.9287225043436846,1.9134642658040861,0.2227527554504497,0.41620868553880386,1.9287225043436846,nan,1.3293773708096528,-0.523809523809524
ma6_a5_h30km,C_smoothstep,leading_edge_near,windward,1700,2055,0,0.0,0.6854185622577293,0.6047262035257401,0.3502139995947619,0.2378320336141631,0.6854185622577293,nan,1.3889134878337501,-0.21029024489667325
ma6_a5_h30km,C_smoothstep,windward_body,windward,251,362,0,0.0,0.6362094668632363,0.5260228387006681,0.23771684279565516,0.39153316604809,0.6362094668632363,nan,1.4393226391724916,-0.6544101688484159
ma6_a5_h30km,C_smoothstep,aft_body,windward,499,767,46,0.056580565805658053,0.4797838271313365,0.4027775114037857,0.19280272831327927,0.0926319088191977,0.4797838271313365,nan,1.434244638982041,0.09743342105898543
ma8_a5_h30km,C_smoothstep,cap_mask,windward,2,2,0,0.0,8.406311571186695,8.406311571186695,0.6121144586039309,0.6121144586039318,8.406311571186695,nan,0.9534651171767136,nan
ma8_a5_h30km,C_smoothstep,true_nose_cap,windward,8,8,0,0.0,2.444908531175645,2.4523534918022634,0.29457923348529924,0.39642086172353697,2.444908531175645,nan,1.4419460835385882,-0.2142857142857143
ma8_a5_h30km,C_smoothstep,leading_edge_near,windward,1700,2055,0,0.0,0.8881680701894279,0.7864681091537828,0.43665123382737436,0.2843238298634294,0.8881680701894279,nan,1.5751977483114052,-0.195852938433116
ma8_a5_h30km,C_smoothstep,windward_body,windward,251,362,0,0.0,0.87573948443082,0.7327591435786059,0.3343028616459308,0.5455747456128289,0.87573948443082,nan,1.6820066686545523,-0.5976573705179283
ma8_a5_h30km,C_smoothstep,aft_body,windward,499,813,0,0.0,0.5332552183571411,0.5328310558734625,0.1268393972950078,0.1544022075878307,0.5332552183571411,nan,1.665687837019734,-0.25779916459424873
ma6_a5_h30km,C_logistic,cap_mask,windward,2,2,0,0.0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,7.984699942155558,nan,0.9922797388042859,nan
ma6_a5_h30km,C_logistic,true_nose_cap,windward,8,8,0,0.0,1.9287225043436846,1.9134642658040861,0.2227527554504497,0.41620868553880386,1.9287225043436846,nan,1.3293773708096528,-0.523809523809524
ma6_a5_h30km,C_logistic,leading_edge_near,windward,1700,2055,0,0.0,0.6854185622577293,0.6047262035257401,0.3502139995947619,0.2378320336141631,0.6854185622577293,nan,1.3889134878337501,-0.21029024489667325
ma6_a5_h30km,C_logistic,windward_body,windward,251,358,4,0.011049723756906077,0.6362094668632363,0.5260228387006681,0.23771684279565516,0.39153316604809,0.6362094668632363,nan,1.4393226391724916,-0.6544101688484159
ma6_a5_h30km,C_logistic,aft_body,windward,499,317,496,0.6100861008610086,0.9224776069983827,0.7098550493154545,0.587546269938433,0.8529429980821555,0.4059340087108807,1.4494775534293565,1.434244638982041,0.23788618200255934
ma8_a5_h30km,C_logistic,cap_mask,windward,2,2,0,0.0,8.406311571186695,8.406311571186695,0.6121144586039309,0.6121144586039318,8.406311571186695,nan,0.9534651171767136,nan
ma8_a5_h30km,C_logistic,true_nose_cap,windward,8,8,0,0.0,2.444908531175645,2.4523534918022634,0.29457923348529924,0.39642086172353697,2.444908531175645,nan,1.4419460835385882,-0.2142857142857143
ma8_a5_h30km,C_logistic,leading_edge_near,windward,1700,2055,0,0.0,0.8881680701894279,0.7864681091537828,0.43665123382737436,0.2843238298634294,0.8881680701894279,nan,1.5751977483114052,-0.195852938433116
ma8_a5_h30km,C_logistic,windward_body,windward,251,362,0,0.0,0.87573948443082,0.7327591435786059,0.3343028616459308,0.5455747456128289,0.87573948443082,nan,1.6820066686545523,-0.5976573705179283
ma8_a5_h30km,C_logistic,aft_body,windward,499,586,227,0.27921279212792127,0.7004699037856409,0.5419967724351994,0.48372625060763497,0.17502483863103335,0.5291967425290501,1.8857889245455384,1.665687837019734,-0.05832773981698335
ma6_a5_h30km,D_local,cap_mask,windward,2,2,0,0.0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,7.984699942155558,nan,0.9922797388042859,nan
ma6_a5_h30km,D_local,true_nose_cap,windward,8,8,0,0.0,1.8819971580149994,1.8589934722946213,0.2038977491808145,0.386313760804748,1.8819971580149994,nan,1.3293773708096528,-0.6190476190476191
ma6_a5_h30km,D_local,leading_edge_near,windward,1700,2054,1,0.00048661800486618007,0.6542222567210616,0.5788366477777781,0.33525421480355555,0.22980985616288208,0.653384524072372,2.077530026844905,1.3889134878337501,-0.15742688171012373
ma6_a5_h30km,D_local,windward_body,windward,251,352,10,0.027624309392265192,0.6421346265700497,0.5035600857988173,0.32159282296578123,0.39454200841692133,0.6287182539391972,3.9962277842831964,1.4393226391724916,-0.69363536330867
ma6_a5_h30km,D_local,aft_body,windward,499,157,656,0.8068880688806888,1.7325002922542736,1.89910676437641,0.8633207762241742,0.38421737094168984,0.39021485405850165,2.1482212416167434,1.434244638982041,0.24523108868339083
ma8_a5_h30km,D_local,cap_mask,windward,2,2,0,0.0,8.406311571186695,8.406311571186695,0.6121144586039309,0.6121144586039318,8.406311571186695,nan,0.9534651171767136,nan
ma8_a5_h30km,D_local,true_nose_cap,windward,8,8,0,0.0,2.384430971250101,2.3822824777312954,0.2601032589840487,0.4373195448329841,2.384430971250101,nan,1.4419460835385882,-0.3333333333333334
ma8_a5_h30km,D_local,leading_edge_near,windward,1700,2055,0,0.0,0.8461843130174678,0.7582746815981689,0.41488427491869523,0.2685795730858056,0.8461843130174678,nan,1.5751977483114052,-0.14238809719880627
ma8_a5_h30km,D_local,windward_body,windward,251,362,0,0.0,0.8655901616650833,0.7080642420652095,0.33889033752582787,0.5599107394378005,0.8655901616650833,nan,1.6820066686545523,-0.6472236767216847
ma8_a5_h30km,D_local,aft_body,windward,499,480,333,0.4095940959409594,1.1816790187228785,0.5257605975785226,1.096568251194016,1.6640119589309061,0.5094331871577983,2.7457709868309648,1.665687837019734,0.20048424559963296
ma6_a5_h30km,D_global,cap_mask,windward,2,2,0,0.0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,7.984699942155558,nan,0.9922797388042859,nan
ma6_a5_h30km,D_global,true_nose_cap,windward,8,8,0,0.0,1.7168665682978195,1.7258424228772333,0.26900852868136,0.21849856493918818,1.7168665682978195,nan,1.3293773708096528,-0.9523809523809524
ma6_a5_h30km,D_global,leading_edge_near,windward,1700,323,1732,0.8428223844282239,1.322226270903576,1.4469617476630023,0.5227058829738352,0.5861818614834984,0.37661487262074195,1.5191446360044079,1.3889134878337501,0.309899181928911
ma6_a5_h30km,D_global,windward_body,windward,251,262,100,0.27624309392265195,0.9652373270931118,0.7444026435389441,0.8026124679864026,0.7149086895540082,0.6016664948714657,2.2915975853831916,1.4393226391724916,0.12066476949345474
ma6_a5_h30km,D_global,aft_body,windward,499,0,813,1.0,1.9944762470301456,1.867050942903769,0.45161743048191005,0.17738505814864225,nan,1.9944762470301456,1.434244638982041,-0.21482212618007096
ma8_a5_h30km,D_global,cap_mask,windward,2,2,0,0.0,8.406311571186695,8.406311571186695,0.6121144586039309,0.6121144586039318,8.406311571186695,nan,0.9534651171767136,nan
ma8_a5_h30km,D_global,true_nose_cap,windward,8,8,0,0.0,2.1683305474625394,2.214057700056539,0.3011451403511712,0.27265809823851184,2.1683305474625394,nan,1.4419460835385882,-0.8095238095238096
ma8_a5_h30km,D_global,leading_edge_near,windward,1700,780,1275,0.6204379562043796,1.4022533350215098,1.5863747241766906,0.7664691449739819,1.539468608215309,0.42419655595736644,1.8930097400642953,1.5751977483114052,0.6211939160502711
ma8_a5_h30km,D_global,windward_body,windward,251,362,0,0.0,0.7654985330824112,0.5411720122787471,0.3574731275076339,0.6235422618970026,0.7654985330824112,nan,1.6820066686545523,-0.676531208499336
ma8_a5_h30km,D_global,aft_body,windward,499,86,727,0.8942189421894219,2.447835457075614,2.4612011579442683,0.7283919080071873,0.4668975795406509,0.562906105388599,2.5726918884907795,1.665687837019734,0.059010358065528644
ma6_a5_h30km,E_qturb_audit,cap_mask,windward,2,2,0,0.0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,7.984699942155558,nan,0.9922797388042859,nan
ma6_a5_h30km,E_qturb_audit,true_nose_cap,windward,8,8,0,0.0,1.9287225043436846,1.9134642658040861,0.2227527554504497,0.41620868553880386,1.9287225043436846,nan,1.3293773708096528,-0.523809523809524
ma6_a5_h30km,E_qturb_audit,leading_edge_near,windward,1700,2055,0,0.0,0.6854185622577293,0.6047262035257401,0.3502139995947619,0.2378320336141631,0.6854185622577293,nan,1.3889134878337501,-0.21029024489667325
ma6_a5_h30km,E_qturb_audit,windward_body,windward,251,358,4,0.011049723756906077,0.6362094668632363,0.5260228387006681,0.23771684279565516,0.39153316604809,0.6362094668632363,nan,1.4393226391724916,-0.6544101688484159
ma6_a5_h30km,E_qturb_audit,aft_body,windward,499,317,496,0.6100861008610086,1.305599289435457,0.7098550493154545,0.9863870238185549,1.5711962458767463,0.4059340087108807,2.2234764179479805,1.434244638982041,0.19794432237969914
ma8_a5_h30km,E_qturb_audit,cap_mask,windward,2,2,0,0.0,8.406311571186695,8.406311571186695,0.6121144586039309,0.6121144586039318,8.406311571186695,nan,0.9534651171767136,nan
ma8_a5_h30km,E_qturb_audit,true_nose_cap,windward,8,8,0,0.0,2.444908531175645,2.4523534918022634,0.29457923348529924,0.39642086172353697,2.444908531175645,nan,1.4419460835385882,-0.2142857142857143
ma8_a5_h30km,E_qturb_audit,leading_edge_near,windward,1700,2055,0,0.0,0.8881680701894279,0.7864681091537828,0.43665123382737436,0.2843238298634294,0.8881680701894279,nan,1.5751977483114052,-0.195852938433116
ma8_a5_h30km,E_qturb_audit,windward_body,windward,251,362,0,0.0,0.87573948443082,0.7327591435786059,0.3343028616459308,0.5455747456128289,0.87573948443082,nan,1.6820066686545523,-0.5976573705179283
ma8_a5_h30km,E_qturb_audit,aft_body,windward,499,586,227,0.27921279212792127,0.8506350674520683,0.5419967724351994,0.8795076695435788,0.17502483863103335,0.5291967425290501,3.0751923637447014,1.665687837019734,-0.05878407417244126
ma6_a5_h30km,G_qscale08_12,cap_mask,windward,2,2,0,0.0,2.625280177654637,2.625280177654637,0.21492721133893045,0.21492721133893022,2.625280177654637,nan,0.9922797388042859,nan
ma6_a5_h30km,G_qscale08_12,true_nose_cap,windward,8,8,0,0.0,1.6865572289860316,1.6552771193154676,0.3447677041522706,0.29866180778389406,1.6865572289860316,nan,1.3293773708096528,-0.5714285714285715
ma6_a5_h30km,G_qscale08_12,leading_edge_near,windward,1700,2055,0,0.0,0.5676275077021633,0.48378096282059213,0.3303034613139451,0.20000250238586031,0.5676275077021633,nan,1.3889134878337501,-0.22780585635767184
ma6_a5_h30km,G_qscale08_12,windward_body,windward,251,358,4,0.011049723756906077,0.5089675734905891,0.42081827096053454,0.19017347423652411,0.313226532838472,0.5089675734905891,nan,1.4393226391724916,-0.6544101688484159
ma6_a5_h30km,G_qscale08_12,aft_body,windward,499,317,496,0.6100861008610086,1.484718850572936,0.5678840394523637,1.258239029423396,2.0446794845751146,0.32474720696870457,2.6681717015375765,1.434244638982041,0.19794432237969914
ma8_a5_h30km,G_qscale08_12,cap_mask,windward,2,2,0,0.0,3.0838970028612396,3.0838970028612396,0.23716533005737106,0.23716533005737128,3.0838970028612396,nan,0.9534651171767136,nan
ma8_a5_h30km,G_qscale08_12,true_nose_cap,windward,8,8,0,0.0,2.164672749742431,2.0749623118957263,0.4425380170612564,0.3934322465580833,2.164672749742431,nan,1.4419460835385882,-0.30952380952380953
ma8_a5_h30km,G_qscale08_12,leading_edge_near,windward,1700,2055,0,0.0,0.7352936309569962,0.6337151408469914,0.40847541625927647,0.24012001311550035,0.7352936309569962,nan,1.5751977483114052,-0.22572270351625012
ma8_a5_h30km,G_qscale08_12,windward_body,windward,251,362,0,0.0,0.700591587544656,0.5862073148628848,0.2674422893167447,0.4364597964902632,0.700591587544656,nan,1.6820066686545523,-0.5976573705179283
ma8_a5_h30km,G_qscale08_12,aft_body,windward,499,586,227,0.27921279212792127,0.835808349685836,0.43359741794815954,1.1181571108907398,0.1400198709048267,0.42335739402324024,3.690230836493641,1.665687837019734,-0.05878407417244126
ma6_a5_h30km,G_qscale09_11,cap_mask,windward,2,2,0,0.0,2.9534401998614666,2.9534401998614666,0.24179311275629645,0.24179311275629667,2.9534401998614666,nan,0.9922797388042859,nan
ma6_a5_h30km,G_qscale09_11,true_nose_cap,windward,8,8,0,0.0,1.8973768826092856,1.862186759229901,0.38786366717130444,0.33599453375688104,1.8973768826092856,nan,1.3293773708096528,-0.5714285714285715
ma6_a5_h30km,G_qscale09_11,leading_edge_near,windward,1700,2055,0,0.0,0.6385809461649337,0.5442535831731661,0.37159139397818824,0.22500281518409287,0.6385809461649337,nan,1.3889134878337501,-0.22780585635767184
ma6_a5_h30km,G_qscale09_11,windward_body,windward,251,358,4,0.011049723756906077,0.5725885201769126,0.47342055483060136,0.21394515851608967,0.35237984944328105,0.5725885201769126,nan,1.4393226391724916,-0.6544101688484159
ma6_a5_h30km,G_qscale09_11,aft_body,windward,499,317,496,0.6100861008610086,1.3951590700041967,0.6388695443839092,1.122188876082444,1.8079378652259308,0.36534060783979266,2.4458240597427787,1.434244638982041,0.19794432237969914
ma8_a5_h30km,G_qscale09_11,cap_mask,windward,2,2,0,0.0,3.469384128218894,3.469384128218894,0.2668109963145424,0.2668109963145424,3.469384128218894,nan,0.9534651171767136,nan
ma8_a5_h30km,G_qscale09_11,true_nose_cap,windward,8,8,0,0.0,2.435256843460235,2.334332600882692,0.4978552691939134,0.4426112773778432,2.435256843460235,nan,1.4419460835385882,-0.30952380952380953
ma8_a5_h30km,G_qscale09_11,leading_edge_near,windward,1700,2055,0,0.0,0.8272053348266207,0.7129295334528654,0.459534843291686,0.27013501475493795,0.8272053348266207,nan,1.5751977483114052,-0.22572270351625012
ma8_a5_h30km,G_qscale09_11,windward_body,windward,251,362,0,0.0,0.7881655359877379,0.6594832292207454,0.3008725754813377,0.49101727105154613,0.7881655359877379,nan,1.6820066686545523,-0.5976573705179283
ma8_a5_h30km,G_qscale09_11,aft_body,windward,499,586,227,0.27921279212792127,0.8432217085689521,0.48779709519167946,0.9984930410438673,0.15752235476793008,0.4762770682761452,3.3827116001191717,1.665687837019734,-0.05878407417244126
ma6_a5_h30km,G_qscale10_10,cap_mask,windward,2,2,0,0.0,3.281600222068296,3.281600222068296,0.2686590141736631,0.26865901417366356,3.281600222068296,nan,0.9922797388042859,nan
ma6_a5_h30km,G_qscale10_10,true_nose_cap,windward,8,8,0,0.0,2.1081965362325397,2.0690963991443345,0.4309596301903382,0.373327259729868,2.1081965362325397,nan,1.3293773708096528,-0.5714285714285715
ma6_a5_h30km,G_qscale10_10,leading_edge_near,windward,1700,2055,0,0.0,0.7095343846277041,0.6047262035257401,0.4128793266424314,0.2500031279823253,0.7095343846277041,nan,1.3889134878337501,-0.22780585635767184
ma6_a5_h30km,G_qscale10_10,windward_body,windward,251,358,4,0.011049723756906077,0.6362094668632363,0.5260228387006681,0.23771684279565516,0.39153316604809,0.6362094668632363,nan,1.4393226391724916,-0.6544101688484159
ma6_a5_h30km,G_qscale10_10,aft_body,windward,499,317,496,0.6100861008610086,1.305599289435457,0.7098550493154545,0.9863870238185549,1.5711962458767463,0.4059340087108807,2.2234764179479805,1.434244638982041,0.19794432237969914
ma8_a5_h30km,G_qscale10_10,cap_mask,windward,2,2,0,0.0,3.854871253576549,3.854871253576549,0.29645666257171355,0.2964566625717131,3.854871253576549,nan,0.9534651171767136,nan
ma8_a5_h30km,G_qscale10_10,true_nose_cap,windward,8,8,0,0.0,2.7058409371780394,2.593702889869658,0.5531725213265702,0.49179030819760383,2.7058409371780394,nan,1.4419460835385882,-0.30952380952380953
ma8_a5_h30km,G_qscale10_10,leading_edge_near,windward,1700,2055,0,0.0,0.9191170386962453,0.7921439260587393,0.5105942703240955,0.30015001639437533,0.9191170386962453,nan,1.5751977483114052,-0.22572270351625012
ma8_a5_h30km,G_qscale10_10,windward_body,windward,251,362,0,0.0,0.87573948443082,0.7327591435786059,0.3343028616459308,0.5455747456128289,0.87573948443082,nan,1.6820066686545523,-0.5976573705179283
ma8_a5_h30km,G_qscale10_10,aft_body,windward,499,586,227,0.27921279212792127,0.8506350674520683,0.5419967724351994,0.8795076695435788,0.17502483863103335,0.5291967425290501,3.0751923637447014,1.665687837019734,-0.05878407417244126
